Pokédex number;IMAGE;Name;Type 1;Type 2;HP;Atk;Def;SpA;SpD;Spe;Total Stats;Ability 1;New Ability Description;Ability 2;Physical Description;Weaknesses;Strengths;Evolution;Evolution Level;Evolution Condition;Overall Rating;Image link;Prompt;Variant ID
26;Image;Eternalance;Fairy;Ghost;115;135;120;110;110;100;690;Temporal Mastery;Temporal Mastery is a unique ability that increases the power of Fairy and Ghost-type moves by 50% for Eternalance. Additionally, when Eternalance enters the battle, it triggers a Time Rift effect that lasts for five turns. This Time Rift causes all moves with a charging turn (such as Solar Beam or Sky Attack) to execute instantly and doubles the chances of secondary effects for moves used by Fairy and Ghost-type Pokémon on the field.;Pressure;Enigmatic creature, ethereal wings, ancient runes;Steel, Ghost, Dark;Fairy, Ghost, Psychic;Legendary;;;453;https://cdn.midjourney.com/50a2e957-2e4e-4245-b4ef-89bd81f3a482/0_2.png;"/imagine prompt:Eternalance Legendary Pokemon; Fairy/Ghost; Enigmatic creature, ethereal wings, ancient runes; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
136;Image;Peakolith ;Rock;Ground;150;90;180;50;110;20;600;Mountainous Resolve ;Increases Defense and Special Defense by 50% when HP is below 50% ;;Peakolith, a towering, mountain-like Pokémon with a jagged, rocky exterior. Its body is adorned with various trees and vegetation, making it resemble a living landscape.;;;Final Stage;;;426;https://cdn.discordapp.com/attachments/1083362848203354193/1092530873888411688/Chtibidi_Peakolith_Regular_Pokemon_Rock_Ground__Peakolith_a_tow_36bfbe29-f548-4bbb-b526-fe3e29451282.png;"/imagine prompt:Peakolith  Regular Pokemon; Rock/Ground; Peakolith, a towering, mountain-like Pokémon with a jagged, rocky exterior. Its body is adorned with various trees and vegetation, making it resemble a living landscape.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
24;Image;Terraguardian;Ground;Dragon;110;130;110;100;110;100;660;Terra Mastery;Terra Mastery is a unique ability that increases the power of Ground and Dragon-type moves by 50% for Terraguardian. Additionally, when Terraguardian enters the battle, it triggers an Earthly Aura effect that lasts for five turns. This Earthly Aura increases the Defense and Special Defense of all Ground and Dragon-type Pokémon on the field by 50%.;Pressure;Earthy dragon, massive wings, stone armor;Ice, Dragon, Fairy;Ground, Rock, Dragon;Legendary;;;419;https://media.discordapp.net/attachments/1083362848203354193/1092177764766994553/Chtibidi_Terraguardian_Legendary_Pokemon_GroundDragon_Terraguar_74158518-8956-4937-bd4b-438caa35ebc0.png?width=897&height=897;"/imagine prompt:Terraguardian Legendary Pokemon; Ground/Dragon; Earthy dragon, massive wings, stone armor; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
25;Image;Celestistorm;Psychic;Electric;100;110;90;140;120;100;660;Celestial Mastery;Celestial Mastery is a unique ability that increases the power of Psychic and Electric-type moves by 50% for Celestistorm. Additionally, when Celestistorm enters the battle, it triggers a Cosmic Storm effect that lasts for five turns. This Cosmic Storm creates an electrically charged and psychic energy-infused field, causing Electric and Psychic-type moves to have a 30% chance of causing the target to flinch.;Pressure;Ethereal bird, electric aura, star-like wings;Bug, Ghost, Dark, Ground;Psychic, Electric;Legendary;;;414;https://media.discordapp.net/attachments/1083362848203354193/1092178730052489226/Chtibidi_Celestistorm_Legendary_Pokemon_PsychicElectric_Celesti_1680ffbb-613a-47d1-a1c9-501e8aafb164.png?width=897&height=897;"/imagine prompt:Celestistorm Legendary Pokemon; Psychic/Electric; Ethereal bird, electric aura, star-like wings; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
32;Image;Foliaguar;Grass;;110;110;100;100;90;140;650;Overgrow;;None;Large, green, feline-like, leafy mane, sharp claws;Fire, Ice, Poison, Flying, Bug;Grass;Final Stage;;;389;https://media.discordapp.net/attachments/1083362848203354193/1090370243395854476/Chtibidi_Foliaguar_is_a_large_sleek_feline-like_Pokemon_with_a__eb9e38bc-531f-4fd5-bc93-4119ac6ce9cf.png?width=897&height=897;"/imagine prompt:Foliaguar Regular Pokemon; Grass/; Large, green, feline-like, leafy mane, sharp claws; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
131;Image;Titanant ;Bug;Steel;120;100;150;50;150;30;600;Impenetrable Armor;Takes 0.5x damage from all moves but has halved Speed ;;Titanant, a massive, heavily-armored ant-like Pokémon. Its exoskeleton is made of a sturdy steel material, providing it with impressive durability.;;;Final Stage;;;386;https://media.discordapp.net/attachments/1083362848203354193/1093531808378912898/Chtibidi_Titanant_Regular_Pokemon_BugSteel_Titanant_a_massive_h_12d6ae4f-73d1-4ae3-98ed-4fd2cd329931.png?width=897&height=897;"/imagine prompt:Titanant  Regular Pokemon; Bug/Steel; Titanant, a massive, heavily-armored ant-like Pokémon. Its exoskeleton is made of a sturdy steel material, providing it with impressive durability.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
101;Image;Arborwyrm;Dragon;Grass;100;125;100;95;90;110;620;Chlorophyll;;Sap Sipper;massive, majestic dragon Pokémon with a unique fusion of flora and fauna in its design. Its body is primarily covered in tree bark armor, giving it a rugged and ancient appearance. This natural armor provides excellent protection and camouflage in forest environments. Arborwyrm's head is adorned with a forest-like mane consisting of leaves, vines, and branches, which extend down its long, serpentine neck.;Ice, Dragon, Fairy, Poison, Bug, Flying;Dragon, Grass, Water;Final Stage;;;376;https://cdn.discordapp.com/attachments/1083362848203354193/1090981653746303046/Chtibidi_Arborwyrm_Regular_Pokemon_DragonGrass_massive_majestic_fe46cabc-85b2-4803-849d-441ed7ee7dc4.png;"/imagine prompt:Arborwyrm Regular Pokemon; Dragon/Grass; massive, majestic dragon Pokémon with a unique fusion of flora and fauna in its design. Its body is primarily covered in tree bark armor, giving it a rugged and ancient appearance. This natural armor provides excellent protection and camouflage in forest environments. Arborwyrm's head is adorned with a forest-like mane consisting of leaves, vines, and branches, which extend down its long, serpentine neck.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
87;Image;Plasmawing;Electric;Flying;90;95;85;130;100;130;630;Static;;Air Lock;Plasmawing is a larger owl-like Pokémon with vibrant electric plumage, giving it an energetic appearance. Its feathers are primarily yellow and blue, with patterns resembling lightning bolts running through them. It has piercing, bright blue eyes and sharp, menacing talons capable of delivering powerful electric shocks. Its wings are broad and powerful, allowing for swift and agile flight. Plasmawing's tail is long and elegant, with feathers that resemble electric sparks, helping it to maintain balance and control during flight. Its beak is sharp and hooked, perfect for hunting prey in the air. The combination of its electric plumage and impressive wingspan creates an awe-inspiring visual display during battle, with sparks and flashes of electricity emanating from its body.;Electric, Ice, Rock;Electric, Flying, Water, Bug;Final Stage;;;376;https://cdn.discordapp.com/attachments/1083362848203354193/1090979200468529162/Chtibidi_Plasmawing_is_a_large_owl-like_Pokemon_with_vibrant_el_b44aa226-c26e-4ba9-8046-ff0370802cc2.png;"/imagine prompt:Plasmawing Regular Pokemon; Electric/Flying; Plasmawing is a larger owl-like Pokémon with vibrant electric plumage, giving it an energetic appearance. Its feathers are primarily yellow and blue, with patterns resembling lightning bolts running through them. It has piercing, bright blue eyes and sharp, menacing talons capable of delivering powerful electric shocks. Its wings are broad and powerful, allowing for swift and agile flight. Plasmawing's tail is long and elegant, with feathers that resemble electric sparks, helping it to maintain balance and control during flight. Its beak is sharp and hooked, perfect for hunting prey in the air. The combination of its electric plumage and impressive wingspan creates an awe-inspiring visual display during battle, with sparks and flashes of electricity emanating from its body.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
58;Image;Lunarisade;Dark;Fairy;95;130;80;95;80;120;600;Lunar Blessing;Heals the Pokémon by 1/16 of its maximum HP every turn in moonlight.;;A crescent moon-shaped Pokémon with a mystical, dark aura, and fairy energy shimmering across its form.;Poison, Steel, Fairy, Bug;Psychic, Dark, Dragon, Ghost;Legendary;;;353;https://cdn.midjourney.com/ba44676c-1625-4149-bdf7-ebac1b020db0/0_3.png;"/imagine prompt:Lunarisade Legendary Pokemon; Dark/Fairy; A crescent moon-shaped Pokémon with a mystical, dark aura, and fairy energy shimmering across its form.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
62;Image;Tempustorm;Flying;Electric;90;115;80;130;80;105;600;Stormbringer;Summons a thunderstorm when entering battle, powering up Flying-type and Electric-type moves.;;A bird-like Pokémon with storm cloud wings that crackle with lightning, and a fierce, commanding presence.;Rock, Ice, Electric;Flying, Electric, Bug, Grass, Fighting;Legendary;;;353;https://cdn.discordapp.com/attachments/1083362848203354193/1093530304586715206/Chtibidi_Tempustorm_Legendary_Pokemon_FlyingElectric_A_bird-lik_dbcde4c0-1d75-473c-b3c6-0bd9da5d9698.png;"/imagine prompt:Tempustorm Legendary Pokemon; Flying/Electric; A bird-like Pokémon with storm cloud wings that crackle with lightning, and a fierce, commanding presence.; detailed; pokemon style; anime style;vibrant colors;limited color palette --q 1.5";
